"anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust"
"dying",1,0,1,1,0,1,0,1,0,0
"tempest",1,1,0,1,0,1,0,1,1,0
"furnace",1,0,0,0,0,0,0,0,0,0
"irritating",1,0,1,0,0,1,0,0,0,0
"combative",1,0,0,1,0,1,0,0,0,0
"beast",1,0,0,1,0,1,0,0,0,0
"remiss",1,0,1,0,0,1,0,1,0,0
"smell",1,0,1,0,0,1,0,0,0,0
"mad",1,0,1,1,0,1,0,1,0,0
"vindicate",1,0,0,0,0,0,0,0,0,0
"magnificent",0,1,0,0,1,0,1,0,1,1
"advocacy",1,1,0,0,1,0,1,0,0,1
"grant",0,1,0,0,1,0,1,0,0,1
"young",0,1,0,0,1,0,1,0,1,0
"offset",0,1,0,0,0,0,1,0,0,0
"sensual",0,1,0,0,1,1,1,0,1,1
"superstitious",0,1,0,1,0,1,0,0,0,0
"glimmer",0,1,0,0,1,0,1,0,1,0
"contagion",0,1,1,1,0,1,0,0,0,0
"foreboding",0,1,0,1,0,1,0,0,0,0
"divorce",1,0,1,1,0,1,0,1,1,1
"entrails",0,0,1,0,0,1,0,0,0,0
"sewage",0,0,1,0,0,1,0,0,0,0
"orc",1,0,1,1,0,1,0,0,0,0
"vicious",1,0,1,0,0,1,0,0,0,0
"garbage",0,0,1,0,0,1,0,0,0,0
"crap",0,0,1,0,0,1,0,0,0,0
"hanging",1,0,1,1,0,1,0,1,0,0
"collusion",1,0,1,1,0,1,0,1,0,0
"disgraced",1,0,1,0,0,1,0,1,0,0
"burial",1,0,0,1,0,1,0,1,0,0
"foreclose",0,0,0,1,0,1,0,1,0,0
"lace",1,0,0,1,0,1,1,1,0,1
"alarm",0,0,0,1,0,1,0,0,1,0
"struggle",1,0,0,1,0,1,0,1,0,0
"perilous",0,1,0,1,0,1,0,1,0,0
"fearfully",0,0,0,1,0,1,0,1,1,0
"affront",1,0,1,1,0,1,0,1,1,0
"mortuary",0,0,0,1,0,1,0,1,0,0
"attack",1,0,0,1,0,1,0,0,0,0
"angel",0,1,0,0,1,0,1,0,1,1
"fun",0,1,0,0,1,0,1,0,0,0
"pleasant",0,1,0,0,1,0,1,0,1,1
"sonnet",0,0,0,0,1,0,1,1,0,0
"ditty",0,0,0,0,1,0,1,0,0,0
"exceed",0,1,0,0,1,0,1,0,0,0
"found",0,0,0,0,1,0,1,0,0,1
"fete",0,1,0,0,1,0,1,0,1,0
"bridesmaid",0,0,0,0,1,0,1,0,0,1
"harmony",0,0,0,0,1,0,1,0,0,1
"reticent",0,0,0,1,0,1,0,0,0,0
"postponement",0,0,0,0,0,1,0,0,1,0
"flake",0,0,0,0,0,1,0,0,0,0
"nab",0,0,0,0,0,1,0,0,1,0
"coroner",0,0,0,0,0,1,0,0,0,0
"ineffective",0,0,0,0,0,1,0,0,0,0
"trash",0,0,1,0,0,1,0,1,0,0
"gibberish",1,0,0,0,0,1,0,0,0,0
"unconstitutional",0,0,0,0,0,1,0,0,0,0
"prohibited",1,0,1,1,0,1,0,0,0,0
"absolute",0,0,0,0,0,0,1,0,0,0
"feeling",1,1,1,1,1,1,1,1,1,1
"interested",0,0,1,0,0,0,1,1,0,0
"uninfected",0,0,0,0,0,0,1,0,0,0
"supply",0,0,0,0,0,0,1,0,0,0
"piety",0,0,0,0,0,0,1,0,0,0
"illustrious",0,0,0,0,0,0,1,0,0,0
"vigorous",0,0,0,0,0,0,1,0,0,1
"apologetic",0,0,0,0,0,0,1,0,0,1
"predominant",0,0,0,0,0,0,1,0,0,1
"imprisoned",1,0,1,1,0,1,0,1,0,0
"extinct",0,0,0,0,0,1,0,1,0,0
"battered",0,0,0,1,0,1,0,1,0,0
"cripple",0,0,0,1,0,1,0,1,0,0
"militia",1,0,0,1,0,1,0,1,0,0
"arraignment",1,0,0,1,0,1,0,1,0,0
"cancel",0,0,0,0,0,1,0,1,0,0
"missing",0,0,0,1,0,1,0,1,0,0
"repress",0,0,0,0,0,1,0,1,0,0
"hobo",0,0,0,0,0,1,0,1,0,0
"vanished",0,0,0,1,0,1,0,1,1,0
"inheritance",0,1,0,0,1,0,1,0,1,1
"worm",0,1,0,0,0,1,0,0,1,0
"burlesque",0,0,0,0,0,0,0,0,1,0
"yell",1,0,0,1,0,1,0,0,1,0
"frenetic",1,0,0,1,0,1,0,0,1,0
"subito",0,0,0,0,0,0,0,0,1,0
"luck",0,1,0,0,1,0,1,0,1,0
"quicksilver",0,0,0,0,0,1,0,0,1,0
"randomly",0,0,0,0,0,0,0,0,1,0
"confirmed",0,0,0,0,0,0,1,0,0,1
"navigator",0,1,0,0,0,0,0,0,0,1
"cooperating",0,0,0,0,0,0,1,0,0,1
"award",0,1,0,0,1,0,1,0,1,1
"enjoying",0,1,0,0,1,0,1,0,0,1
"diplomatic",0,0,0,0,0,0,1,0,0,1
"authority",0,0,0,0,0,0,1,0,0,1
"conservation",0,1,0,0,0,0,1,0,0,1
"radar",0,0,0,0,0,0,0,0,0,1
"rota",0,0,0,0,0,0,1,0,0,1
